case_study,benchmark,mode,success,interpret_time,interpret_cpu,interpret_mem,transpile_time,transpile_cpu,transpile_mem,compile_time,compile_cpu,compile_mem,execute_time,execute_cpu,execute_mem,smt_calls,smt_time,smt_mode,smt_eval_time,smt_wait_time,smt_cache_hits,smt_cache_misses,smt_cache_clears,work
dminor,all-1,interpret-reorder,y,4.60,409,1.336124,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,1.4406214300000002,push-pop,1.372,0.06862143,0.001278,0.003825,0,0.107631
dminor,all-1,interpret-reorder,y,4.71,396,1.394824,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,1.478676079,push-pop,1.382,0.096676079,0.001281,0.003822,0,0.107631
dminor,all-1,interpret-reorder,y,4.78,384,1.374932,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,1.562985975,push-pop,1.492,0.07098597499999999,0.001257,0.003846,0,0.107631
dminor,all-1,interpret-unbatched,y,2.45,894,1.446332,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,2.5084270959999997,push-pop,2.417,0.091427096,0.001192,0.003911,0,0.107687
dminor,all-1,interpret-unbatched,y,2.50,903,1.460284,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,3.3334177929999997,push-pop,2.683,0.6504177929999999,0.001183,0.00392,0,0.107712
dminor,all-1,interpret-unbatched,y,2.47,845,1.3396,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,3.70690484,push-pop,2.231,1.4759048399999999,0.001193,0.00391,0,0.107779
dminor,all-1,interpret-unbatched,y,2.45,881,1.468264,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,3.99127402,push-pop,2.249,1.74227402,0.001185,0.003918,0,0.107762
dminor,all-1,interpret-unbatched,y,2.46,898,1.466048,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,2.44284602,push-pop,2.339,0.10384602,0.001194,0.003909,0,0.107751
dminor,all-1,interpret-unbatched,y,2.51,901,1.5155,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,3.1377685289999997,push-pop,2.259,0.8787685289999999,0.001179,0.003924,0,0.107747
dminor,all-1,interpret-unbatched,y,2.47,921,1.52494,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,3.000519916,push-pop,2.625,0.375519916,0.001171,0.003932,0,0.107716
dminor,all-1,interpret-unbatched,y,2.53,889,1.489964,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,2.4297090409999997,push-pop,2.34,0.089709041,0.00118,0.003923,0,0.107736
dminor,all-1,interpret-unbatched,y,2.46,918,1.437092,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,2.424974486,push-pop,2.256,0.168974486,0.001193,0.00391,0,0.1077
dminor,all-1,interpret-unbatched,y,2.44,930,1.378268,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,2.9939873730000004,push-pop,2.24,0.7539873730000001,0.001169,0.003934,0,0.107714
scuba,antlr,scuba,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.10,235,6.844712,NA,0,NA,NA,NA,NA,NA,NA,NA
scuba,antlr,scuba,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.39,241,6.959736,NA,0,NA,NA,NA,NA,NA,NA,NA
scuba,antlr,scuba,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.88,248,6.815852,NA,0,NA,NA,NA,NA,NA,NA,NA
scuba,antlr,scuba,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.30,239,6.940768,NA,0,NA,NA,NA,NA,NA,NA,NA
scuba,antlr,scuba,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.66,232,6.790656,NA,0,NA,NA,NA,NA,NA,NA,NA
scuba,antlr,scuba,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.92,225,7.777752,NA,0,NA,NA,NA,NA,NA,NA,NA
scuba,antlr,scuba,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.77,233,6.789368,NA,0,NA,NA,NA,NA,NA,NA,NA
scuba,antlr,scuba,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.56,239,6.766964,NA,0,NA,NA,NA,NA,NA,NA,NA
scuba,antlr,scuba,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.48,237,6.746104,NA,0,NA,NA,NA,NA,NA,NA,NA
scuba,antlr,scuba,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.42,240,6.957444,NA,0,NA,NA,NA,NA,NA,NA,NA
